Task,Job id,CPU,MEM,DISK
R4_3,j_1,0.025779692,0.035185185,0.031928027
M3_2,j_1,0.030008482,0.05,0.013570973
M1,j_1,0.015561059,0.021111111,0.024000551
R2_1,j_1,0.042546856,0.021111111,0.029313502
R5_4,j_1,0.039238838,0.021111111,0.044807937
R4_3,j_2,0.045861483,0.042592593,0.045777129
M3,j_2,0.030666784,0.028518519,0.013948492
M6,j_2,0.037725942,0.028518519,0.043598086
R7_6,j_2,0.02967717,0.042592593,0.017267911
R2_1,j_2,0.022653073,0.042592593,0.042907443
M1,j_2,0.030437005,0.028518519,0.012510697
J8_2_4_5_7,j_2,0.024650456,0.042592593,0.026468756
R5_6,j_2,0.042202196,0.042592593,0.029482189
M6,j_3,0.033609265,0.035185185,0.025191938
R7_6,j_3,0.022798785,0.021111111,0.037009652
R3_2,j_3,0.027279639,0.021111111,0.01542472
R5_4,j_3,0.044258585,0.021111111,0.049194233
M1,j_3,0.045061747,0.021111111,0.038456007
M4,j_3,0.037098066,0.05,0.049214782
R2_1,j_3,0.042963784,0.021111111,0.048240391
J8_3_5_7,j_3,0.017913208,0.021111111,0.039422442
R6_5,j_4,0.046312354,0.035185185,0.034754195
M3,j_4,0.039654591,0.028518519,0.028653164
M7_2_4_6,j_4,0.027726221,0.028518519,0.022158399
R4_3,j_4,0.025860143,0.035185185,0.026177886
M5,j_4,0.025908337,0.028518519,0.027124098
M1,j_4,0.038049749,0.028518519,0.015268496
R2_1,j_4,0.04500047,0.035185185,0.029211024
R8_7,j_4,0.014476342,0.035185185,0.041875563
M4,j_5,0.017446216,0.028518519,0.0115374
R2_1,j_5,0.019689422,0.042592593,0.021444519
J6_3_4_5,j_5,0.031182658,0.05,0.049485465
M1,j_5,0.042473522,0.028518519,0.048534916
M5,j_5,0.035306208,0.028518519,0.034788785
R3_2,j_5,0.025680818,0.035185185,0.01964434
R7_6,j_5,0.035344685,0.035185185,0.030846996
R6_5,j_6,0.039701533,0.042592593,0.016570717
R2_1,j_6,0.030009449,0.042592593,0.045065609
J7_2_4_6,j_6,0.042602354,0.05,0.031048108
R8_7,j_6,0.026379465,0.035185185,0.011997275
M3,j_6,0.036330007,0.028518519,0.02527048
R4_3,j_6,0.040445817,0.042592593,0.022714447
M1,j_6,0.025078209,0.028518519,0.012037792
M5,j_6,0.026197244,0.028518519,0.020480061
R6_5,j_7,0.034993022,0.042592593,0.025349351
M4,j_7,0.042713897,0.028518519,0.033326012
R8_7,j_7,0.015239214,0.035185185,0.010302427
R2_1,j_7,0.044831386,0.035185185,0.042773815
M1,j_7,0.016570343,0.028518519,0.036043775
M3_2,j_7,0.014222856,0.028518519,0.042958316
J5_3_4,j_7,0.017598052,0.05,0.023760331
R7_6,j_7,0.020052131,0.042592593,0.030260937
M5,j_8,0.042062229,0.021111111,0.023374822
R7_6,j_8,0.027597283,0.021111111,0.035931165
M4,j_8,0.047292677,0.021111111,0.036008595
R9_8,j_8,0.044459645,0.021111111,0.016549217
M1,j_8,0.03234601,0.05,0.035940685
M2,j_8,0.036640563,0.021111111,0.013009361
R3_2,j_8,0.027111834,0.021111111,0.042873867
R6_5,j_8,0.021062095,0.021111111,0.043222575
J8_1_3_4_7,j_8,0.032868245,0.028518519,0.039201274
M1,j_9,0.034403003,0.028518519,0.029319323
M1,j_10,0.014301261,0.05,0.012086159
R8_7,j_11,0.025449417,0.035185185,0.023453843
J6_2_5,j_11,0.046772619,0.05,0.018961332
J5_3_4,j_11,0.04833823,0.035185185,0.025782219
M1,j_11,0.025430951,0.05,0.034895606
M2,j_11,0.037591178,0.028518519,0.042756459
M4,j_11,0.020357175,0.035185185,0.018474249
J7_1_6,j_11,0.025665916,0.035185185,0.01017715
M3,j_11,0.032096265,0.05,0.015140661
M3_2,j_12,0.010927152,0.028518519,0.026576012
M1,j_12,0.025583654,0.028518519,0.046805649
R5_4,j_12,0.049548403,0.035185185,0.037885116
R4_3,j_12,0.04095365,0.042592593,0.017619036
R2_1,j_12,0.040380994,0.035185185,0.015004767
M1,j_13,0.041131358,0.021111111,0.037939361
M1,j_14,0.024774857,0.021111111,0.044655342
M8,j_15,0.040970707,0.028518519,0.033079417
R4_3,j_15,0.027952363,0.035185185,0.045913662
M1,j_15,0.037577291,0.028518519,0.010983551
R3_5,j_15,0.027693551,0.042592593,0.025429931
R6_5,j_15,0.045582523,0.042592593,0.014308786
R7_6,j_15,0.023229531,0.035185185,0.026679678
M2,j_15,0.025114465,0.028518519,0.034960108
J9_4_7_8,j_15,0.026792455,0.05,0.016760288
M5,j_15,0.012813695,0.028518519,0.022840241
J10_1_2_9,j_15,0.029344203,0.042592593,0.031073823
M1,j_16,0.015452045,0.042592593,0.037073325
J9_7_8,j_16,0.045579314,0.021111111,0.011619568
M4,j_16,0.030818332,0.042592593,0.043688879
M7,j_16,0.049158345,0.035185185,0.024782062
J10_2_6_9,j_16,0.021137468,0.021111111,0.041760361
R5_4,j_16,0.038191965,0.035185185,0.029429121
R3_7,j_16,0.017957803,0.035185185,0.046260387
R2_1,j_16,0.010125794,0.035185185,0.048137641
J6_3_5_8,j_16,0.037004746,0.035185185,0.030075399
M8,j_16,0.049159714,0.05,0.014753905
M1,j_17,0.039911747,0.028518519,0.039318815
J3_1_2,j_17,0.043637439,0.05,0.024167315
M2,j_17,0.020647784,0.028518519,0.046858908
R4_3,j_17,0.03589951,0.035185185,0.044399166
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,j_18,0.049519649,0.013703704,0.022826505
M2,j_19,0.010013906,0.028518519,0.024550146
J5_1_4,j_19,0.044905705,0.05,0.014485725
R3_2,j_19,0.037699385,0.042592593,0.033354126
R4_3,j_19,0.046077385,0.035185185,0.013797861
J6_1_5,j_19,0.014197047,0.05,0.033757537
M1,j_19,0.019137323,0.028518519,0.025539299
R7_6,j_19,0.019565246,0.035185185,0.02370348
J7_5_6,j_20,0.028095334,0.021111111,0.023723109
J8_3_7,j_20,0.048525225,0.021111111,0.04227227
M1,j_20,0.019861328,0.021111111,0.01461363
M3_2,j_20,0.044612211,0.021111111,0.037011774
R9_8,j_20,0.018112212,0.021111111,0.046967064
R2_1,j_20,0.025490185,0.021111111,0.011795229
R5_4,j_20,0.026386177,0.021111111,0.049790182
M6,j_20,0.013959037,0.021111111,0.037765701
R4_6,j_20,0.010787065,0.021111111,0.012210652
M4,j_21,0.013440994,0.021111111,0.021053939
R9_8,j_21,0.015325046,0.021111111,0.016220269
J8_1_3_4_7,j_21,0.036765008,0.021111111,0.032336359
R6_5,j_21,0.01618064,0.021111111,0.044472086
M1,j_21,0.031616714,0.021111111,0.010425077
M2,j_21,0.022238672,0.021111111,0.048244757
R3_2,j_21,0.034119112,0.021111111,0.019312378
R7_6,j_21,0.035102572,0.021111111,0.048780908
M5,j_21,0.019820202,0.021111111,0.025015429
M2,j_22,0.040178079,0.035185185,0.041591021
M1,j_22,0.02897387,0.035185185,0.034779382
R7_1_2_4_6,j_22,0.026009914,0.035185185,0.042602596
M5,j_22,0.022498611,0.035185185,0.026693283
R4_3,j_22,0.022290904,0.042592593,0.041099891
M3,j_22,0.021792455,0.035185185,0.044770362
R6_5,j_22,0.015475483,0.042592593,0.011723262
R2_5,j_23,0.027661102,0.021111111,0.042280004
R7_2_6,j_23,0.04582269,0.021111111,0.012104838
R4_3,j_23,0.010702032,0.021111111,0.02140738
R6_5,j_23,0.018794384,0.021111111,0.029135048
M3,j_23,0.024710278,0.021111111,0.019001046
M5_1_4,j_23,0.030478037,0.021111111,0.01406078
R1_3,j_23,0.010876836,0.021111111,0.014458844
M5_2_4,j_24,0.019532413,0.028518519,0.044628428
R6_5,j_24,0.044078872,0.042592593,0.026690943
M1,j_24,0.045008686,0.028518519,0.032336121
R7_6,j_24,0.030524779,0.035185185,0.04740097
M3,j_24,0.046614174,0.028518519,0.043246066
R4_3,j_24,0.041355129,0.035185185,0.012754764
R2_1,j_24,0.0474705,0.035185185,0.033997294
J6_3_4_5,j_25,0.023471173,0.05,0.018549783
M1,j_25,0.04933313,0.028518519,0.017174669
R7_6,j_25,0.033089965,0.035185185,0.027943459
M5,j_25,0.024300777,0.028518519,0.025332798
R2_1,j_25,0.038236481,0.042592593,0.048960726
M4,j_25,0.047952488,0.028518519,0.04815027
R3_2,j_25,0.022420045,0.035185185,0.019999253
J3_1_2,j_26,0.013436744,0.05,0.048701601
R4_3,j_26,0.033389958,0.035185185,0.045151805
R1_2,j_26,0.025391457,0.042592593,0.038641838
M2,j_26,0.020804649,0.028518519,0.044628322
R4_3,j_27,0.034631878,0.035185185,0.018230021
R2_1,j_27,0.03206244,0.035185185,0.04682455
M5_4,j_27,0.033876068,0.028518519,0.011942421
M3,j_27,0.018238242,0.028518519,0.038682446
M1,j_27,0.034363849,0.028518519,0.012403871
J6_2_5,j_27,0.017118165,0.042592593,0.024495869
R5_4,j_28,0.02122522,0.021111111,0.023790836
J7_1_3_5_6,j_28,0.036866874,0.028518519,0.028352531
M4,j_28,0.037945455,0.028518519,0.04723592
M6,j_28,0.049527511,0.028518519,0.01673318
M2,j_28,0.022799394,0.021111111,0.035925511
R1_4,j_28,0.041593232,0.021111111,0.012923646
R3_2,j_28,0.038193777,0.021111111,0.018341526
R7_6,j_29,0.04320907,0.035185185,0.025972598
M1,j_29,0.045622251,0.028518519,0.019778353
R4_3,j_29,0.018230396,0.035185185,0.036020435
R6_5,j_29,0.036444135,0.042592593,0.010328558
M5_4,j_29,0.04740405,0.028518519,0.025507396
R3_2,j_29,0.032242814,0.042592593,0.024909635
R2_1,j_29,0.013220996,0.042592593,0.02389842
M1,j_30,0.014805685,0.028518519,0.020046113
M3,j_30,0.047879851,0.028518519,0.031698917
R4_3,j_30,0.029543624,0.042592593,0.029974597
R7_6,j_30,0.036114313,0.035185185,0.037491232
R6_5,j_30,0.047126534,0.042592593,0.022774711
M2,j_30,0.038750926,0.028518519,0.025453006
J5_1_2_4,j_30,0.046694708,0.05,0.047576313
R6_5,j_31,0.023260613,0.035185185,0.033893867
M1,j_31,0.031514633,0.021111111,0.040324037
M5_2_4,j_31,0.016172655,0.035185185,0.04351727
R2_1,j_31,0.030007607,0.021111111,0.020768234
R7_6,j_31,0.021365917,0.021111111,0.023577216
M3,j_31,0.026220853,0.021111111,0.047822047
R4_3,j_31,0.018887967,0.021111111,0.027459624
J9_2_4_6_8,j_32,0.037314448,0.035185185,0.03513783
R4_3,j_32,0.01419327,0.028518519,0.013828238
R2_1,j_32,0.035956032,0.042592593,0.023736896
M5,j_32,0.023018986,0.035185185,0.034850602
M7,j_32,0.032188233,0.035185185,0.048688742
M1,j_32,0.043292633,0.05,0.046604382
